tag	area_code	subtitle_location	drawing	level	project_site
BE1871A-M1	1871	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1871A-Q1	1871	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9101A-ES3	9101	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9101A-M1	9101	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9101A-Q1	9101	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9301A-BS1	9301	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9301A-M1	9301	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE9301A-M2	9301	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE9301A-S51	9301	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE9311A-AS3	9311	CULLET TOWER +26.300	DE040730A	26.3	CNUD
BE9311A-AS4	9311	CULLET TOWER +26.300	DE040730A	26.3	CNUD
BE9331A-AS1	9331	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE9331A-AS2	9331	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE9331-ES2	9331	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE9331-ES3	9331	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
C1121-AS1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-AS2	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-BS1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-ESR1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-ESR2	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-M1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-MS1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
